day,temp_record_min,temp_record_max,temp_average_min,temp_average_max,temp_median,temp_mean,temp_p25,temp_p75,temp_st_dev,temp_num,pressure_min,pressure_max,pressure_median,pressure_mean,pressure_p25,pressure_p75,pressure_st_dev,pressure_num,humidity_min,humidity_max,humidity_median,humidity_mean,humidity_p25,humidity_p75,humidity_st_dev,humidity_num,wind_min,wind_max,wind_median,wind_mean,wind_p25,wind_p75,wind_st_dev,wind_num,precipitation_min,precipitation_max,precipitation_median,precipitation_mean,precipitation_p25,precipitation_p75,precipitation_st_dev,precipitation_num,clouds_min,clouds_max,clouds_median,clouds_mean,clouds_p25,clouds_p75,clouds_st_dev,clouds_num
2,261.86,283.54,271.2,278.33,274.97,273.95,272.16,276.33,4.48,216,983,1033,1018,1019.24,1013,1025,7.23,216,36,100,64,66.83,55,80.5,15.49,216,0.51,9.8,3.6,3.85,2.6,4.91,1.67,216,0,3,0,0.07,0,0,0.27,216,0,90,20,38.55,1,90,39.53,216
3,260.69,280.88,270.18,276.17,274.42,272.83,269.24,277.65,5.8,216,506,1036,1016,1015.06,1011,1023,35.76,214,32,100,80,74.06,59,88,17.86,211,0,9.3,3.1,3.51,2.6,4,1.71,216,0,3,0,0.14,0,0.3,0.3,216,0,100,46.5,45.18,1,90,41.48,216
4,258.26,287.7,271.51,277.92,274.71,274.35,269.38,280.22,6.67,216,989,1032,1014.5,1013.04,1006.5,1019,10.09,216,39,100,73,74.11,57,93,18.85,215,0,18,3.25,4.15,2.6,4.82,2.97,216,0,3,0,0.29,0,0.3,0.7,216,0,97,82.5,54.93,1,90,40.78,216
5,260.38,285.69,269.62,277.19,273.5,272.54,268.15,277.06,6.05,216,992,1037,1014,1013.86,1007,1019,10.09,216,21,98,67,65.96,50.5,82,19.26,213,0.51,14.9,5.4,5.79,2.95,7.2,3.25,216,0,3,0,0.12,0,0.3,0.3,216,0,92,40,45.65,1,90,39.45,216
6,259.5,285.08,270.09,276.42,273.66,272.62,268.05,277.32,6.2,216,980,1038,1016,1017.05,1014,1023,9.86,215,18,100,67,65.24,47,81,19.51,210,0,16.5,3.6,4.52,2.42,5.95,2.93,216,0,3,0,0.09,0,0,0.29,216,0,90,20,37.52,1,75,37.47,216
7,256.64,281.17,266.95,274.8,270.64,269.87,266.82,274.52,6.17,216,969,1036,1021,1021.4,1017,1027,7.58,216,17,92,52,55.91,43,68,17.8,213,0,12.34,3.71,4.14,2.6,5.55,2.39,216,0,0.3,0,0,0,0,0.04,216,0,90,1,27.44,1,75,35.8,216
8,259.27,280.47,267.54,274.01,271.01,270.33,265.62,274.95,5.83,216,1008,1034,1023,1021.85,1018,1027,5.93,216,31,100,63.5,64.41,51.5,79,16.63,216,0,11.3,3.6,3.92,2.57,4.6,2.23,216,0,0.3,0,0.03,0,0,0.08,216,0,91,20,38.55,1,75,39.65,216
9,260.4,282.55,269.15,275.79,271.61,272.18,268.42,277.31,5.06,216,999,1042,1022,1023.08,1016,1033,11.77,216,25,100,62,64.4,48,81,18.68,215,0,12.9,3.6,4.41,2.6,6.1,2.74,216,0,0.9,0,0.03,0,0,0.12,216,0,92,20,38.09,1,75,37.33,216
10,262.01,288.24,269.86,278,273.28,273.32,269.33,276.49,5.74,216,991,1041,1028,1023.84,1018,1032,12.61,214,18,100,70,70.12,57,86,16.83,215,0,12.3,3.42,3.96,2.5,4.6,2.52,216,0,3,0,0.18,0,0,0.62,216,0,91,1,33.25,0,75,39.6,216
11,263.23,290.66,272.78,281.02,275.28,276.19,272.03,280.8,6.11,216,986,1038,1025,1022.56,1018,1029,10.65,216,30,100,69,69.66,55,87,18.17,214,0,13.4,3.1,4.16,2.1,5.58,2.78,216,0,0.9,0,0.08,0,0,0.22,216,0,90,20,34.75,1,75,34.28,216
